time_step,crop,source_LUT,pixels,yield_minimum,yield_mean,yield_maximum
50,Maize,cropland-annual,7345,1028.3,7565.35,14102.4
50,Cassava,cropland-annual,1528,15.28,9152.72,18290.16
51,Cacao,agroforestry,301945,60389.0,271750.5,483112.0
51,Coffee,agroforestry,258,33.54,36.12,38.7
51,Plantano,agroforestry,47447,474.47,228694.54,456914.61
51,Maize,cropland-annual,7337,1027.18,7557.11,14087.04
51,Cassava,cropland-annual,1527,15.27,9146.73,18278.19
52,Cacao,agroforestry,301907,60381.4,271716.3,483051.2
52,Coffee,agroforestry,258,33.54,36.12,38.7
52,Plantano,agroforestry,47441,474.41,228665.62,456856.83
52,Maize,cropland-annual,7330,1026.2,7549.9,14073.6
52,Cassava,cropland-annual,1525,15.25,9134.75,18254.25
53,Cacao,agroforestry,301933,60386.6,271739.7,483092.8
53,Coffee,agroforestry,258,33.54,36.12,38.7
53,Plantano,agroforestry,47445,474.45,228684.9,456895.35
53,Maize,cropland-annual,7322,1025.08,7541.66,14058.24
53,Cassava,cropland-annual,1524,15.24,9128.76,18242.28
54,Cacao,agroforestry,302433,60486.6,272189.7,483892.8
54,Coffee,agroforestry,259,33.67,36.26,38.85
54,Plantano,agroforestry,47524,475.24,229065.68,457656.12
54,Maize,cropland-annual,7326,1025.64,7545.78,14065.92
54,Cassava,cropland-annual,1525,15.25,9134.75,18254.25
55,Cacao,agroforestry,302868,60573.6,272581.2,484588.8
55,Coffee,agroforestry,259,33.67,36.26,38.85
55,Plantano,agroforestry,47592,475.92,229393.44,458310.96
55,Maize,cropland-annual,7330,1026.2,7549.9,14073.6
55,Cassava,cropland-annual,1525,15.25,9134.75,18254.25
56,Cacao,agroforestry,303375,60675.0,273037.5,485400.0
56,Coffee,agroforestry,259,33.67,36.26,38.85
56,Plantano,agroforestry,47672,476.72,229779.04,459081.36
56,Maize,cropland-annual,7334,1026.76,7554.02,14081.28
56,Cassava,cropland-annual,1526,15.26,9140.74,18266.22
57,Cacao,agroforestry,303886,60777.2,273497.4,486217.6
57,Coffee,agroforestry,260,33.8,36.4,39.0
57,Plantano,agroforestry,47752,477.52,230164.64,459851.76
57,Maize,cropland-annual,7338,1027.32,7558.14,14088.96
57,Cassava,cropland-annual,1527,15.27,9146.73,18278.19
58,Cacao,agroforestry,304334,60866.8,273900.6,486934.4
58,Coffee,agroforestry,260,33.8,36.4,39.0
58,Plantano,agroforestry,47823,478.23,230506.86,460535.49
58,Maize,cropland-annual,7341,1027.74,7561.23,14094.72
58,Cassava,cropland-annual,1528,15.28,9152.72,18290.16
59,Cacao,agroforestry,304854,60970.8,274368.6,487766.4
59,Coffee,agroforestry,261,33.93,36.54,39.15
59,Plantano,agroforestry,47904,479.04,230897.28,461315.52
59,Maize,cropland-annual,7346,1028.44,7566.38,14104.32
59,Cassava,cropland-annual,1529,15.29,9158.71,18302.13
60,Cacao,agroforestry,305312,61062.4,274780.8,488499.2
60,Coffee,agroforestry,261,33.93,36.54,39.15
60,Plantano,agroforestry,47976,479.76,231244.32,462008.88
60,Maize,cropland-annual,7350,1029.0,7570.5,14112.0
60,Cassava,cropland-annual,1529,15.29,9158.71,18302.13
61,Cacao,agroforestry,305840,61168.0,275256.0,489344.0
61,Coffee,agroforestry,261,33.93,36.54,39.15
61,Plantano,agroforestry,48059,480.59,231644.38,462808.17
61,Maize,cropland-annual,7355,1029.7,7575.65,14121.6
61,Cassava,cropland-annual,1530,15.3,9164.7,18314.1
62,Cacao,agroforestry,306305,61261.0,275674.5,490088.0
62,Coffee,agroforestry,262,34.06,36.68,39.3
62,Plantano,agroforestry,48133,481.33,232001.06,463520.79
62,Maize,cropland-annual,7357,1029.98,7577.71,14125.44
62,Cassava,cropland-annual,1531,15.31,9170.69,18326.07
63,Cacao,agroforestry,306777,61355.4,276099.3,490843.2
63,Coffee,agroforestry,262,34.06,36.68,39.3
63,Plantano,agroforestry,48207,482.07,232357.74,464233.41
63,Maize,cropland-annual,7362,1030.68,7582.86,14135.04
63,Cassava,cropland-annual,1532,15.32,9176.68,18338.04
64,Cacao,agroforestry,307738,61547.6,276964.2,492380.8
64,Coffee,agroforestry,263,34.19,36.82,39.45
64,Plantano,agroforestry,48358,483.58,233085.56,465687.54
64,Maize,cropland-annual,7377,1032.78,7598.31,14163.84
64,Cassava,cropland-annual,1535,15.35,9194.65,18373.95
65,Cacao,agroforestry,308714,61742.8,277842.6,493942.4
65,Coffee,agroforestry,264,34.32,36.96,39.6
65,Plantano,agroforestry,48511,485.11,233823.02,467160.93
65,Maize,cropland-annual,7392,1034.88,7613.76,14192.64
65,Cassava,cropland-annual,1538,15.38,9212.62,18409.86
66,Cacao,agroforestry,309638,61927.6,278674.2,495420.8
66,Coffee,agroforestry,265,34.45,37.1,39.75
