time_step,type,AGB,Carbon
27,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
27,final_total_AGB_gross_forest,138569024.0,69284512.0
27,final_total_AGB_net_forest,87537216.0,43768608.0
27,final_total_AGB_gross_minus_net_forest,51031808.0,25515904.0
27,final_total_AGB_agroforestry,50967080.0,25483540.0
27,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
27,final_total_AGB_gross_disturbed_forest,19145850.0,9572925.0
27,final_total_AGB_net_disturbed_forest,19093854.0,9572925.0
27,final_total_AGB_gross_minus_net_disturbed_forest,51996.0,0.0
27,final_total_AGB_gross_undisturbed_forest,68456096.0,34228048.0
27,final_total_AGB_net_undisturbed_forest,68443360.0,34221680.0
27,final_total_AGB_gross_minus_net_undisturbed_forest,12736.0,6368.0
28,potential_maximum_undisturbed_AGB,268474816.0,134237408.0
28,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
28,final_total_AGB_gross_forest,138975008.0,69487504.0
28,final_total_AGB_net_forest,87674816.0,43837408.0
28,final_total_AGB_gross_minus_net_forest,51300192.0,25650096.0
28,final_total_AGB_agroforestry,51231012.0,25615506.0
28,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
28,final_total_AGB_gross_disturbed_forest,19262800.0,9631400.0
28,final_total_AGB_net_disturbed_forest,19206374.0,9631400.0
28,final_total_AGB_gross_minus_net_disturbed_forest,56426.0,0.0
28,final_total_AGB_gross_undisturbed_forest,68481192.0,34240596.0
28,final_total_AGB_net_undisturbed_forest,68468440.0,34234220.0
28,final_total_AGB_gross_minus_net_undisturbed_forest,12752.0,6376.0
29,potential_maximum_undisturbed_AGB,268474816.0,134237408.0
29,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
29,final_total_AGB_gross_forest,139357424.0,69678712.0
29,final_total_AGB_net_forest,87805880.0,43902940.0
29,final_total_AGB_gross_minus_net_forest,51551544.0,25775772.0
29,final_total_AGB_agroforestry,51482332.0,25741166.0
29,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
29,final_total_AGB_gross_disturbed_forest,19373752.0,9686876.0
29,final_total_AGB_net_disturbed_forest,19317302.0,9686876.0
29,final_total_AGB_gross_minus_net_disturbed_forest,56450.0,0.0
29,final_total_AGB_gross_undisturbed_forest,68501344.0,34250672.0
29,final_total_AGB_net_undisturbed_forest,68488576.0,34244288.0
29,final_total_AGB_gross_minus_net_undisturbed_forest,12768.0,6384.0
30,potential_maximum_undisturbed_AGB,268474816.0,134237408.0
30,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
30,final_total_AGB_gross_forest,139732592.0,69866296.0
30,final_total_AGB_net_forest,87915320.0,43957660.0
30,final_total_AGB_gross_minus_net_forest,51817272.0,25908636.0
30,final_total_AGB_agroforestry,51752944.0,25876472.0
30,final_total_AGB_plantation,user-defined not considered gross forest,user-defined not considered gross forest
30,final_total_AGB_gross_disturbed_forest,19460400.0,9730200.0
30,final_total_AGB_net_disturbed_forest,19408852.0,9730200.0
30,final_total_AGB_gross_minus_net_disturbed_forest,51548.0,0.0
30,final_total_AGB_gross_undisturbed_forest,68519248.0,34259624.0
30,final_total_AGB_net_undisturbed_forest,68506464.0,34253232.0
30,final_total_AGB_gross_minus_net_undisturbed_forest,12784.0,6392.0
31,potential_maximum_undisturbed_AGB,268474816.0,134237408.0
31,initial_AGB_gross_forest_simulation_start,228405216.0,114202608.0
31,final_total_AGB_gross_forest,140098176.0,70049088.0
31,final_total_AGB_net_forest,88025576.0,44012788.0
31,final_total_AGB_gross_minus_net_forest,52072600.0,26036300.0
